Measure Names,State,Measure Values
B.1.1.7,Alabama,0.0013
B.1.351,Alabama,
P.1,Alabama,0.0006
B.1.617.2,Alabama,0.9391
AY.1,Alabama,
AY.2,Alabama,0.0019
B.1.526,Alabama,
B.1.617.1,Alabama,
B.1.621,Alabama,
Other,Alabama,0.0571
Total Available Sequences,Alabama,"1,577"
B.1.1.7,Arizona,
B.1.351,Arizona,
P.1,Arizona,
B.1.617.2,Arizona,0.956
AY.1,Arizona,0.0007
AY.2,Arizona,0.0007
B.1.526,Arizona,
B.1.617.1,Arizona,
B.1.621,Arizona,
Other,Arizona,0.0425
Total Available Sequences,Arizona,"1,340"
B.1.1.7,Arkansas,
B.1.351,Arkansas,
P.1,Arkansas,0.0019
B.1.617.2,Arkansas,0.9737
AY.1,Arkansas,
AY.2,Arkansas,0.0019
B.1.526,Arkansas,
B.1.617.1,Arkansas,
B.1.621,Arkansas,
Other,Arkansas,0.0225
Total Available Sequences,Arkansas,533
B.1.1.7,California,0.0007
B.1.351,California,
P.1,California,0.0015
B.1.617.2,California,0.9769
AY.1,California,0.0052
AY.2,California,0.0049
B.1.526,California,
B.1.617.1,California,0
B.1.621,California,0.0008
Other,California,0.01
Total Available Sequences,California,"22,538"
B.1.1.7,Colorado,0.0005
B.1.351,Colorado,
P.1,Colorado,
B.1.617.2,Colorado,0.9809
AY.1,Colorado,
AY.2,Colorado,0.0005
B.1.526,Colorado,
B.1.617.1,Colorado,
B.1.621,Colorado,0.0005
Other,Colorado,0.0175
Total Available Sequences,Colorado,"1,886"
B.1.1.7,Connecticut,0.001
B.1.351,Connecticut,
P.1,Connecticut,
B.1.617.2,Connecticut,0.9827
AY.1,Connecticut,0.001
AY.2,Connecticut,0.001
B.1.526,Connecticut,
B.1.617.1,Connecticut,
B.1.621,Connecticut,0.0041
Other,Connecticut,0.0102
Total Available Sequences,Connecticut,981
B.1.1.7,Delaware,
B.1.351,Delaware,
P.1,Delaware,
B.1.617.2,Delaware,0.9941
AY.1,Delaware,
AY.2,Delaware,
B.1.526,Delaware,
B.1.617.1,Delaware,
B.1.621,Delaware,
Other,Delaware,0.0059
Total Available Sequences,Delaware,510
B.1.1.7,District of Columbia,0.0019
B.1.351,District of Columbia,
P.1,District of Columbia,
B.1.617.2,District of Columbia,0.9903
AY.1,District of Columbia,0.0039
AY.2,District of Columbia,
B.1.526,District of Columbia,
B.1.617.1,District of Columbia,
B.1.621,District of Columbia,
Other,District of Columbia,0.0039
Total Available Sequences,District of Columbia,518
B.1.1.7,Florida,0.0017
