Measure Names,State,Measure Values
B.1.1.7,Arizona,0.676
B.1.351,Arizona,0.0074
B.1.427 / B.1.429,Arizona,0.0368
B.1.617.2,Arizona,0.0147
P.1,Arizona,0.106
Other lineages,Arizona,0.1591
Total Available Sequences,Arizona,679
B.1.1.7,California,0.5823
B.1.351,California,0.0107
B.1.427 / B.1.429,California,0.0506
B.1.617.2,California,0.034
P.1,California,0.0952
Other lineages,California,0.2263
Total Available Sequences,California,"4,211"
B.1.1.7,Colorado,0.797
B.1.351,Colorado,0.0061
B.1.427 / B.1.429,Colorado,0.0212
B.1.617.2,Colorado,0.0427
P.1,Colorado,0.0286
Other lineages,Colorado,0.1044
Total Available Sequences,Colorado,"3,113"
B.1.1.7,Connecticut,0.5543
B.1.351,Connecticut,0.0074
B.1.427 / B.1.429,Connecticut,0.0049
B.1.617.2,Connecticut,0.0296
P.1,Connecticut,0.0506
Other lineages,Connecticut,0.3519
Total Available Sequences,Connecticut,810
B.1.1.7,Florida,0.672
B.1.351,Florida,0.0034
B.1.427 / B.1.429,Florida,0.009
B.1.617.2,Florida,0.0126
P.1,Florida,0.1183
Other lineages,Florida,0.1846
Total Available Sequences,Florida,"5,552"
B.1.1.7,Georgia,0.7979
B.1.351,Georgia,0.0155
B.1.427 / B.1.429,Georgia,0.0039
B.1.617.2,Georgia,0.0039
P.1,Georgia,0.0551
Other lineages,Georgia,0.1238
Total Available Sequences,Georgia,"1,034"
B.1.1.7,Illinois,0.6019
B.1.351,Illinois,0.0141
B.1.427 / B.1.429,Illinois,0.0105
B.1.617.2,Illinois,0.022
P.1,Illinois,0.2345
Other lineages,Illinois,0.1167
Total Available Sequences,Illinois,"2,768"
B.1.1.7,Indiana,0.7329
B.1.351,Indiana,0.0041
B.1.427 / B.1.429,Indiana,0.0076
B.1.617.2,Indiana,0.0228
P.1,Indiana,0.1263
Other lineages,Indiana,0.1063
Total Available Sequences,Indiana,"1,449"
B.1.1.7,Kentucky,0.7898
B.1.351,Kentucky,
B.1.427 / B.1.429,Kentucky,
B.1.617.2,Kentucky,0.0162
P.1,Kentucky,0.0539
Other lineages,Kentucky,0.1402
Total Available Sequences,Kentucky,371
B.1.1.7,Maine,0.3791
B.1.351,Maine,
B.1.427 / B.1.429,Maine,0.0137
B.1.617.2,Maine,
P.1,Maine,0.0385
Other lineages,Maine,0.5687
Total Available Sequences,Maine,364
B.1.1.7,Maryland,0.756
B.1.351,Maryland,0.0159
B.1.427 / B.1.429,Maryland,0.0011
B.1.617.2,Maryland,0.0102
P.1,Maryland,0.0125
Other lineages,Maryland,0.2043
Total Available Sequences,Maryland,881
B.1.1.7,Massachusetts,0.5201
B.1.351,Massachusetts,0.0009
B.1.427 / B.1.429,Massachusetts,0.0068
B.1.617.2,Massachusetts,0.0241
P.1,Massachusetts,0.1608
Other lineages,Massachusetts,0.2873
Total Available Sequences,Massachusetts,"5,311"
B.1.1.7,Michigan,0.8102
B.1.351,Michigan,0.0047
B.1.427 / B.1.429,Michigan,0.0094
B.1.617.2,Michigan,0.0024
P.1,Michigan,0.0339
Other lineages,Michigan,0.1394
Total Available Sequences,Michigan,"2,123"
B.1.1.7,Minnesota,0.8063
B.1.351,Minnesota,0.0079
B.1.427 / B.1.429,Minnesota,0.0346
B.1.617.2,Minnesota,0.0063
P.1,Minnesota,0.0316
Other lineages,Minnesota,0.1135
Total Available Sequences,Minnesota,"4,310"
B.1.1.7,Missouri,0.777
B.1.351,Missouri,0.0068
