Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,24
Share Low,Alabama,AY.1 (Delta),0,24
Share High,Alabama,AY.1 (Delta),0,24
Share,Alabama,AY.2 (Delta),0,24
Share Low,Alabama,AY.2 (Delta),0,24
Share High,Alabama,AY.2 (Delta),0,24
Share,Alabama,B.1.1.7 (Alpha),0,24
Share Low,Alabama,B.1.1.7 (Alpha),0,24
Share High,Alabama,B.1.1.7 (Alpha),0,24
Share,Alabama,B.1.1.529 (Omicron),0,24
Share Low,Alabama,B.1.1.529 (Omicron),0,24
Share High,Alabama,B.1.1.529 (Omicron),0,24
Share,Alabama,B.1.351,0,24
Share Low,Alabama,B.1.351,0,24
Share High,Alabama,B.1.351,0,24
Share,Alabama,B.1.427/429 (Epsilon),0,24
Share Low,Alabama,B.1.427/429 (Epsilon),0,24
Share High,Alabama,B.1.427/429 (Epsilon),0,24
Share,Alabama,B.1.525,0,24
Share Low,Alabama,B.1.525,0,24
Share High,Alabama,B.1.525,0,24
Share,Alabama,B.1.526 (Iota),0,24
Share Low,Alabama,B.1.526 (Iota),0,24
Share High,Alabama,B.1.526 (Iota),0,24
Share,Alabama,B.1.617.1,0,24
Share Low,Alabama,B.1.617.1,0,24
Share High,Alabama,B.1.617.1,0,24
Share,Alabama,B.1.617.2 (Delta),0,24
Share Low,Alabama,B.1.617.2 (Delta),0,24
Share High,Alabama,B.1.617.2 (Delta),0,24
Share,Alabama,B.1.617.3,0,24
Share Low,Alabama,B.1.617.3,0,24
Share High,Alabama,B.1.617.3,0,24
Share,Alabama,B.1.621 (Mu),0,24
Share Low,Alabama,B.1.621 (Mu),0,24
Share High,Alabama,B.1.621 (Mu),0,24
Share,Alabama,BA.2 (Omicron),0,24
Share Low,Alabama,BA.2 (Omicron),0,24
Share High,Alabama,BA.2 (Omicron),0,24
Share,Alabama,BA.2.12.1 (Omicron),0,24
Share Low,Alabama,BA.2.12.1 (Omicron),0,24
Share High,Alabama,BA.2.12.1 (Omicron),0,24
Share,Alabama,BA.2.75 (Omicron),0,24
Share Low,Alabama,BA.2.75 (Omicron),0,24
Share High,Alabama,BA.2.75 (Omicron),0,24
Share,Alabama,BA.2.75.2 (Omicron),0,24
Share Low,Alabama,BA.2.75.2 (Omicron),0,24
Share High,Alabama,BA.2.75.2 (Omicron),0,24
Share,Alabama,CH.1.1 (Omicron),0,24
Share Low,Alabama,CH.1.1 (Omicron),0,24
Share High,Alabama,CH.1.1 (Omicron),0,24
Share,Alabama,BN.1 (Omicron),0.083333336,24
Share Low,Alabama,BN.1 (Omicron),0.010256342,24
Share High,Alabama,BN.1 (Omicron),0.269972801,24
Share,Alabama,BA.4 (Omicron),0,24
Share Low,Alabama,BA.4 (Omicron),0,24
Share High,Alabama,BA.4 (Omicron),0,24
Share,Alabama,BA.4.6 (Omicron),0,24
Share Low,Alabama,BA.4.6 (Omicron),0,24
Share High,Alabama,BA.4.6 (Omicron),0,24
Share,Alabama,BA.5 (Omicron),0,24
Share Low,Alabama,BA.5 (Omicron),0,24
Share High,Alabama,BA.5 (Omicron),0,24
Share,Alabama,BA.5.2.6 (Omicron),0,24
Share Low,Alabama,BA.5.2.6 (Omicron),0,24
Share High,Alabama,BA.5.2.6 (Omicron),0,24
Share,Alabama,BF.7 (Omicron),0,24
Share Low,Alabama,BF.7 (Omicron),0,24
Share High,Alabama,BF.7 (Omicron),0,24
Share,Alabama,BF.11 (Omicron),0,24
Share Low,Alabama,BF.11 (Omicron),0,24
Share High,Alabama,BF.11 (Omicron),0,24
Share,Alabama,BQ.1 (Omicron),0,24
Share Low,Alabama,BQ.1 (Omicron),0,24
Share High,Alabama,BQ.1 (Omicron),0,24
Share,Alabama,BQ.1.1 (Omicron),0.041666668,24
Share Low,Alabama,BQ.1.1 (Omicron),1.086564907e-06,24
Share High,Alabama,BQ.1.1 (Omicron),0.432586908,24
Share,Alabama,XBB (Omicron),0.041666668,24
Share Low,Alabama,XBB (Omicron),6.486516941e-05,24
Share High,Alabama,XBB (Omicron),0.312857956,24
Share,Alabama,XBB.1.5 (Omircon),0.833333313,24
Share Low,Alabama,XBB.1.5 (Omircon),0.626158297,24
Share High,Alabama,XBB.1.5 (Omircon),0.952646375,24
Share,Alabama,XBB.1.5.1 (Omicron),0,24
Share Low,Alabama,XBB.1.5.1 (Omicron),0,24
Share High,Alabama,XBB.1.5.1 (Omicron),0,24
Share,Alabama,FD.2 (Omicron),0,24
Share Low,Alabama,FD.2 (Omicron),0,24
Share High,Alabama,FD.2 (Omicron),0,24
Share,Alabama,XBB.1.9.1 (Omicron),0,24
Share Low,Alabama,XBB.1.9.1 (Omicron),0,24
Share High,Alabama,XBB.1.9.1 (Omicron),0,24
Share,Alabama,XBB.1.9.2 (Omicron),0,24
Share Low,Alabama,XBB.1.9.2 (Omicron),0,24
Share High,Alabama,XBB.1.9.2 (Omicron),0,24
Share,Alabama,XBB.1.16 (Omicron),0,24
Share Low,Alabama,XBB.1.16 (Omicron),0,24
Share High,Alabama,XBB.1.16 (Omicron),0,24
Share,Alabama,Other,0,24
Share Low,Alabama,Other,0,24
Share High,Alabama,Other,0,24
Share,Alabama,P.1,0,24
Share Low,Alabama,P.1,0,24
Share High,Alabama,P.1,0,24
Share,Alabama,P.2,0,24
Share Low,Alabama,P.2,0,24
Share High,Alabama,P.2,0,24
Share,Alaska,AY.1 (Delta),0,68
Share Low,Alaska,AY.1 (Delta),0,68
Share High,Alaska,AY.1 (Delta),0,68
Share,Alaska,AY.2 (Delta),0,68
Share Low,Alaska,AY.2 (Delta),0,68
Share High,Alaska,AY.2 (Delta),0,68
Share,Alaska,B.1.1.7 (Alpha),0,68
Share Low,Alaska,B.1.1.7 (Alpha),0,68
Share High,Alaska,B.1.1.7 (Alpha),0,68
Share,Alaska,B.1.1.529 (Omicron),0,68
Share Low,Alaska,B.1.1.529 (Omicron),0,68
Share High,Alaska,B.1.1.529 (Omicron),0,68
Share,Alaska,B.1.351,0,68
Share Low,Alaska,B.1.351,0,68
Share High,Alaska,B.1.351,0,68
Share,Alaska,B.1.427/429 (Epsilon),0,68
Share Low,Alaska,B.1.427/429 (Epsilon),0,68
Share High,Alaska,B.1.427/429 (Epsilon),0,68
Share,Alaska,B.1.525,0,68
Share Low,Alaska,B.1.525,0,68
Share High,Alaska,B.1.525,0,68
Share,Alaska,B.1.526 (Iota),0,68
Share Low,Alaska,B.1.526 (Iota),0,68
Share High,Alaska,B.1.526 (Iota),0,68
Share,Alaska,B.1.617.1,0,68
Share Low,Alaska,B.1.617.1,0,68
Share High,Alaska,B.1.617.1,0,68
Share,Alaska,B.1.617.2 (Delta),0,68
Share Low,Alaska,B.1.617.2 (Delta),0,68
Share High,Alaska,B.1.617.2 (Delta),0,68
Share,Alaska,B.1.617.3,0,68
Share Low,Alaska,B.1.617.3,0,68
Share High,Alaska,B.1.617.3,0,68
Share,Alaska,B.1.621 (Mu),0,68
Share Low,Alaska,B.1.621 (Mu),0,68
Share High,Alaska,B.1.621 (Mu),0,68
Share,Alaska,BA.2 (Omicron),0.011990706,68
Share Low,Alaska,BA.2 (Omicron),0.000147556,68
Share High,Alaska,BA.2 (Omicron),0.074704111,68
Share,Alaska,BA.2.12.1 (Omicron),0,68
Share Low,Alaska,BA.2.12.1 (Omicron),0,68
Share High,Alaska,BA.2.12.1 (Omicron),0,68
Share,Alaska,BA.2.75 (Omicron),0,68
Share Low,Alaska,BA.2.75 (Omicron),0,68
Share High,Alaska,BA.2.75 (Omicron),0,68
Share,Alaska,BA.2.75.2 (Omicron),0,68
Share Low,Alaska,BA.2.75.2 (Omicron),0,68
Share High,Alaska,BA.2.75.2 (Omicron),0,68
Share,Alaska,CH.1.1 (Omicron),0.053277206,68
Share Low,Alaska,CH.1.1 (Omicron),0.013458905,68
Share High,Alaska,CH.1.1 (Omicron),0.136280581,68
Share,Alaska,BN.1 (Omicron),0,68
Share Low,Alaska,BN.1 (Omicron),0,68
Share High,Alaska,BN.1 (Omicron),0,68
Share,Alaska,BA.4 (Omicron),0,68
Share Low,Alaska,BA.4 (Omicron),0,68
Share High,Alaska,BA.4 (Omicron),0,68
Share,Alaska,BA.4.6 (Omicron),0,68
Share Low,Alaska,BA.4.6 (Omicron),0,68
Share High,Alaska,BA.4.6 (Omicron),0,68
Share,Alaska,BA.5 (Omicron),0.009294377,68
Share Low,Alaska,BA.5 (Omicron),3.612710134e-05,68
Share High,Alaska,BA.5 (Omicron),0.070083387,68
Share,Alaska,BA.5.2.6 (Omicron),0,68
Share Low,Alaska,BA.5.2.6 (Omicron),0,68
Share High,Alaska,BA.5.2.6 (Omicron),0,68
Share,Alaska,BF.7 (Omicron),0,68
Share Low,Alaska,BF.7 (Omicron),0,68
Share High,Alaska,BF.7 (Omicron),0,68
Share,Alaska,BF.11 (Omicron),0,68
Share Low,Alaska,BF.11 (Omicron),0,68
Share High,Alaska,BF.11 (Omicron),0,68
Share,Alaska,BQ.1 (Omicron),0.043982830,68
Share Low,Alaska,BQ.1 (Omicron),0.009133172,68
Share High,Alaska,BQ.1 (Omicron),0.123372614,68
Share,Alaska,BQ.1.1 (Omicron),0.135785192,68
Share Low,Alaska,BQ.1.1 (Omicron),0.064769432,68
Share High,Alaska,BQ.1.1 (Omicron),0.240527734,68
Share,Alaska,XBB (Omicron),0.011990706,68
Share Low,Alaska,XBB (Omicron),0.000147556,68
Share High,Alaska,XBB (Omicron),0.074704111,68
Share,Alaska,XBB.1.5 (Omircon),0.733678997,68
Share Low,Alaska,XBB.1.5 (Omircon),0.612553298,68
Share High,Alaska,XBB.1.5 (Omircon),0.833617151,68
Share,Alaska,XBB.1.5.1 (Omicron),0,68
Share Low,Alaska,XBB.1.5.1 (Omicron),0,68
Share High,Alaska,XBB.1.5.1 (Omicron),0,68
Share,Alaska,FD.2 (Omicron),0,68
Share Low,Alaska,FD.2 (Omicron),0,68
Share High,Alaska,FD.2 (Omicron),0,68
Share,Alaska,XBB.1.9.1 (Omicron),0,68
Share Low,Alaska,XBB.1.9.1 (Omicron),0,68
Share High,Alaska,XBB.1.9.1 (Omicron),0,68
Share,Alaska,XBB.1.9.2 (Omicron),0,68
Share Low,Alaska,XBB.1.9.2 (Omicron),0,68
Share High,Alaska,XBB.1.9.2 (Omicron),0,68
Share,Alaska,XBB.1.16 (Omicron),0,68
Share Low,Alaska,XBB.1.16 (Omicron),0,68
Share High,Alaska,XBB.1.16 (Omicron),0,68
Share,Alaska,Other,0,68
Share Low,Alaska,Other,0,68
Share High,Alaska,Other,0,68
Share,Alaska,P.1,0,68
Share Low,Alaska,P.1,0,68
Share High,Alaska,P.1,0,68
Share,Alaska,P.2,0,68
Share Low,Alaska,P.2,0,68
Share High,Alaska,P.2,0,68
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),0,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,0,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429 (Epsilon),0,0
Share Low,American Samoa,B.1.427/429 (Epsilon),0,0
Share High,American Samoa,B.1.427/429 (Epsilon),0,0
Share,American Samoa,B.1.525,0,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),0,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,0,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),0,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,0,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621 (Mu),0,0
Share Low,American Samoa,B.1.621 (Mu),0,0
Share High,American Samoa,B.1.621 (Mu),0,0
Share,American Samoa,BA.2 (Omicron),0,0
Share Low,American Samoa,BA.2 (Omicron),0,0
Share High,American Samoa,BA.2 (Omicron),0,0
Share,American Samoa,BA.2.12.1 (Omicron),0,0
Share Low,American Samoa,BA.2.12.1 (Omicron),0,0
Share High,American Samoa,BA.2.12.1 (Omicron),0,0
Share,American Samoa,BA.2.75 (Omicron),0,0
Share Low,American Samoa,BA.2.75 (Omicron),0,0
Share High,American Samoa,BA.2.75 (Omicron),0,0
Share,American Samoa,BA.2.75.2 (Omicron),0,0
Share Low,American Samoa,BA.2.75.2 (Omicron),0,0
Share High,American Samoa,BA.2.75.2 (Omicron),0,0
Share,American Samoa,CH.1.1 (Omicron),0,0
Share Low,American Samoa,CH.1.1 (Omicron),0,0
Share High,American Samoa,CH.1.1 (Omicron),0,0
Share,American Samoa,BN.1 (Omicron),0,0
Share Low,American Samoa,BN.1 (Omicron),0,0
Share High,American Samoa,BN.1 (Omicron),0,0
Share,American Samoa,BA.4 (Omicron),0,0
Share Low,American Samoa,BA.4 (Omicron),0,0
Share High,American Samoa,BA.4 (Omicron),0,0
Share,American Samoa,BA.4.6 (Omicron),0,0
Share Low,American Samoa,BA.4.6 (Omicron),0,0
Share High,American Samoa,BA.4.6 (Omicron),0,0
Share,American Samoa,BA.5 (Omicron),0,0
Share Low,American Samoa,BA.5 (Omicron),0,0
Share High,American Samoa,BA.5 (Omicron),0,0
Share,American Samoa,BA.5.2.6 (Omicron),0,0
Share Low,American Samoa,BA.5.2.6 (Omicron),0,0
Share High,American Samoa,BA.5.2.6 (Omicron),0,0
Share,American Samoa,BF.7 (Omicron),0,0
Share Low,American Samoa,BF.7 (Omicron),0,0
Share High,American Samoa,BF.7 (Omicron),0,0
Share,American Samoa,BF.11 (Omicron),0,0
Share Low,American Samoa,BF.11 (Omicron),0,0
Share High,American Samoa,BF.11 (Omicron),0,0
Share,American Samoa,BQ.1 (Omicron),0,0
Share Low,American Samoa,BQ.1 (Omicron),0,0
Share High,American Samoa,BQ.1 (Omicron),0,0
Share,American Samoa,BQ.1.1 (Omicron),0,0
Share Low,American Samoa,BQ.1.1 (Omicron),0,0
Share High,American Samoa,BQ.1.1 (Omicron),0,0
Share,American Samoa,XBB (Omicron),0,0
Share Low,American Samoa,XBB (Omicron),0,0
Share High,American Samoa,XBB (Omicron),0,0
Share,American Samoa,XBB.1.5 (Omircon),0,0
Share Low,American Samoa,XBB.1.5 (Omircon),0,0
Share High,American Samoa,XBB.1.5 (Omircon),0,0
Share,American Samoa,XBB.1.5.1 (Omicron),0,0
Share Low,American Samoa,XBB.1.5.1 (Omicron),0,0
Share High,American Samoa,XBB.1.5.1 (Omicron),0,0
Share,American Samoa,FD.2 (Omicron),0,0
Share Low,American Samoa,FD.2 (Omicron),0,0
Share High,American Samoa,FD.2 (Omicron),0,0
Share,American Samoa,XBB.1.9.1 (Omicron),0,0
Share Low,American Samoa,XBB.1.9.1 (Omicron),0,0
Share High,American Samoa,XBB.1.9.1 (Omicron),0,0
Share,American Samoa,XBB.1.9.2 (Omicron),0,0
Share Low,American Samoa,XBB.1.9.2 (Omicron),0,0
Share High,American Samoa,XBB.1.9.2 (Omicron),0,0
Share,American Samoa,XBB.1.16 (Omicron),0,0
Share Low,American Samoa,XBB.1.16 (Omicron),0,0
