Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1,0,951
Share Low,Alabama,AY.1,0,951
Share High,Alabama,AY.1,0,951
Share,Alabama,AY.2,0.000863776,951
Share Low,Alabama,AY.2,1.095768039e-05,951
Share High,Alabama,AY.2,0.005516527,951
Share,Alabama,B.1.1.7,0,951
Share Low,Alabama,B.1.1.7,0,951
Share High,Alabama,B.1.1.7,0,951
Share,Alabama,B.1.351,0,951
Share Low,Alabama,B.1.351,0,951
Share High,Alabama,B.1.351,0,951
Share,Alabama,B.1.427/429,0,951
Share Low,Alabama,B.1.427/429,0,951
Share High,Alabama,B.1.427/429,0,951
Share,Alabama,B.1.525,0,951
Share Low,Alabama,B.1.525,0,951
Share High,Alabama,B.1.525,0,951
Share,Alabama,B.1.526,0,951
Share Low,Alabama,B.1.526,0,951
Share High,Alabama,B.1.526,0,951
Share,Alabama,B.1.617.2,0.971443355,951
Share Low,Alabama,B.1.617.2,0.938500106,951
Share High,Alabama,B.1.617.2,0.989565074,951
Share,Alabama,B.1.621,0,951
Share Low,Alabama,B.1.621,0,951
Share High,Alabama,B.1.621,0,951
Share,Alabama,Other,0.026493698,951
Share Low,Alabama,Other,0.009689340,951
Share High,Alabama,Other,0.057084113,951
Share,Alabama,P.1,0,951
Share Low,Alabama,P.1,0,951
Share High,Alabama,P.1,0,951
Share,Alabama,P.2,0,951
Share Low,Alabama,P.2,0,951
Share High,Alabama,P.2,0,951
Share,Alaska,AY.1,0,847
Share Low,Alaska,AY.1,0,847
Share High,Alaska,AY.1,0,847
Share,Alaska,AY.2,0,847
Share Low,Alaska,AY.2,0,847
Share High,Alaska,AY.2,0,847
Share,Alaska,B.1.1.7,0,847
Share Low,Alaska,B.1.1.7,0,847
Share High,Alaska,B.1.1.7,0,847
Share,Alaska,B.1.351,0,847
Share Low,Alaska,B.1.351,0,847
Share High,Alaska,B.1.351,0,847
Share,Alaska,B.1.427/429,0,847
Share Low,Alaska,B.1.427/429,0,847
Share High,Alaska,B.1.427/429,0,847
Share,Alaska,B.1.525,0,847
Share Low,Alaska,B.1.525,0,847
Share High,Alaska,B.1.525,0,847
Share,Alaska,B.1.526,0,847
Share Low,Alaska,B.1.526,0,847
Share High,Alaska,B.1.526,0,847
Share,Alaska,B.1.617.2,0.997610331,847
Share Low,Alaska,B.1.617.2,0.977502465,847
Share High,Alaska,B.1.617.2,0.999997973,847
Share,Alaska,B.1.621,0,847
Share Low,Alaska,B.1.621,0,847
Share High,Alaska,B.1.621,0,847
Share,Alaska,Other,0.002389655,847
Share Low,Alaska,Other,2.028460813e-06,847
Share High,Alaska,Other,0.022497518,847
Share,Alaska,P.1,0,847
Share Low,Alaska,P.1,0,847
Share High,Alaska,P.1,0,847
Share,Alaska,P.2,0,847
Share Low,Alaska,P.2,0,847
Share High,Alaska,P.2,0,847
Share,American Samoa,AY.1,,0
Share Low,American Samoa,AY.1,0,0
Share High,American Samoa,AY.1,0,0
Share,American Samoa,AY.2,,0
Share Low,American Samoa,AY.2,0,0
Share High,American Samoa,AY.2,0,0
Share,American Samoa,B.1.1.7,,0
Share Low,American Samoa,B.1.1.7,0,0
Share High,American Samoa,B.1.1.7,0,0
Share,American Samoa,B.1.351,,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429,,0
Share Low,American Samoa,B.1.427/429,0,0
Share High,American Samoa,B.1.427/429,0,0
Share,American Samoa,B.1.525,,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526,,0
Share Low,American Samoa,B.1.526,0,0
Share High,American Samoa,B.1.526,0,0
Share,American Samoa,B.1.617.2,,0
Share Low,American Samoa,B.1.617.2,0,0
Share High,American Samoa,B.1.617.2,0,0
Share,American Samoa,B.1.621,,0
Share Low,American Samoa,B.1.621,0,0
Share High,American Samoa,B.1.621,0,0
Share,American Samoa,Other,,0
Share Low,American Samoa,Other,0,0
Share High,American Samoa,Other,0,0
Share,American Samoa,P.1,,0
Share Low,American Samoa,P.1,0,0
Share High,American Samoa,P.1,0,0
Share,American Samoa,P.2,,0
Share Low,American Samoa,P.2,0,0
Share High,American Samoa,P.2,0,0
Share,Arizona,AY.1,0.003991813,"1,951"
Share Low,Arizona,AY.1,0.001648891,"1,951"
Share High,Arizona,AY.1,0.008075980,"1,951"
Share,Arizona,AY.2,0.001604386,"1,951"
Share Low,Arizona,AY.2,0.000346387,"1,951"
Share High,Arizona,AY.2,0.004586915,"1,951"
Share,Arizona,B.1.1.7,0,"1,951"
Share Low,Arizona,B.1.1.7,0,"1,951"
Share High,Arizona,B.1.1.7,0,"1,951"
Share,Arizona,B.1.351,0,"1,951"
Share Low,Arizona,B.1.351,0,"1,951"
Share High,Arizona,B.1.351,0,"1,951"
Share,Arizona,B.1.427/429,0,"1,951"
Share Low,Arizona,B.1.427/429,0,"1,951"
Share High,Arizona,B.1.427/429,0,"1,951"
Share,Arizona,B.1.525,0,"1,951"
Share Low,Arizona,B.1.525,0,"1,951"
Share High,Arizona,B.1.525,0,"1,951"
Share,Arizona,B.1.526,0,"1,951"
Share Low,Arizona,B.1.526,0,"1,951"
Share High,Arizona,B.1.526,0,"1,951"
Share,Arizona,B.1.617.2,0.977812648,"1,951"
Share Low,Arizona,B.1.617.2,0.946530461,"1,951"
Share High,Arizona,B.1.617.2,0.993376732,"1,951"
Share,Arizona,B.1.621,0,"1,951"
Share Low,Arizona,B.1.621,0,"1,951"
Share High,Arizona,B.1.621,0,"1,951"
Share,Arizona,Other,0.013851627,"1,951"
Share Low,Arizona,Other,0.001020788,"1,951"
Share High,Arizona,Other,0.057549819,"1,951"
Share,Arizona,P.1,0.002739519,"1,951"
Share Low,Arizona,P.1,0.000101139,"1,951"
Share High,Arizona,P.1,0.013921084,"1,951"
Share,Arizona,P.2,0,"1,951"
Share Low,Arizona,P.2,0,"1,951"
Share High,Arizona,P.2,0,"1,951"
Share,Arkansas,AY.1,0,497
Share Low,Arkansas,AY.1,0,497
Share High,Arkansas,AY.1,0,497
Share,Arkansas,AY.2,0,497
Share Low,Arkansas,AY.2,0,497
Share High,Arkansas,AY.2,0,497
Share,Arkansas,B.1.1.7,0,497
Share Low,Arkansas,B.1.1.7,0,497
Share High,Arkansas,B.1.1.7,0,497
Share,Arkansas,B.1.351,0,497
Share Low,Arkansas,B.1.351,0,497
Share High,Arkansas,B.1.351,0,497
Share,Arkansas,B.1.427/429,0,497
Share Low,Arkansas,B.1.427/429,0,497
Share High,Arkansas,B.1.427/429,0,497
Share,Arkansas,B.1.525,0,497
Share Low,Arkansas,B.1.525,0,497
Share High,Arkansas,B.1.525,0,497
Share,Arkansas,B.1.526,0,497
Share Low,Arkansas,B.1.526,0,497
Share High,Arkansas,B.1.526,0,497
Share,Arkansas,B.1.617.2,0.983081162,497
Share Low,Arkansas,B.1.617.2,0.891237020,497
Share High,Arkansas,B.1.617.2,0.999840200,497
Share,Arkansas,B.1.621,0.001507743,497
Share Low,Arkansas,B.1.621,1.312814675e-05,497
Share High,Arkansas,B.1.621,0.010276330,497
Share,Arkansas,Other,0.015411085,497
Share Low,Arkansas,Other,0.000146529,497
Share High,Arkansas,Other,0.099390671,497
Share,Arkansas,P.1,0,497
Share Low,Arkansas,P.1,0,497
Share High,Arkansas,P.1,0,497
Share,Arkansas,P.2,0,497
Share Low,Arkansas,P.2,0,497
Share High,Arkansas,P.2,0,497
Share,California,AY.1,0.002780758,"16,241"
Share Low,California,AY.1,0.001006242,"16,241"
Share High,California,AY.1,0.006094701,"16,241"
Share,California,AY.2,0.001284590,"16,241"
Share Low,California,AY.2,0.000571817,"16,241"
Share High,California,AY.2,0.002480758,"16,241"
Share,California,B.1.1.7,0,"16,241"
Share Low,California,B.1.1.7,0,"16,241"
Share High,California,B.1.1.7,0,"16,241"
Share,California,B.1.351,3.508631926e-05,"16,241"
Share Low,California,B.1.351,4.332316195e-08,"16,241"
Share High,California,B.1.351,0.000318911,"16,241"
Share,California,B.1.427/429,0,"16,241"
Share Low,California,B.1.427/429,0,"16,241"
Share High,California,B.1.427/429,0,"16,241"
Share,California,B.1.525,0,"16,241"
Share Low,California,B.1.525,0,"16,241"
Share High,California,B.1.525,0,"16,241"
Share,California,B.1.526,9.967914957e-05,"16,241"
Share Low,California,B.1.526,8.352825716e-06,"16,241"
Share High,California,B.1.526,0.000407014,"16,241"
Share,California,B.1.617.2,0.988289475,"16,241"
Share Low,California,B.1.617.2,0.953349888,"16,241"
Share High,California,B.1.617.2,0.998994768,"16,241"
Share,California,B.1.621,0.000252731,"16,241"
Share Low,California,B.1.621,7.039078628e-05,"16,241"
Share High,California,B.1.621,0.000639788,"16,241"
Share,California,Other,0.006967986,"16,241"
Share Low,California,Other,4.285426621e-05,"16,241"
Share High,California,Other,0.049438175,"16,241"
Share,California,P.1,0.000150059,"16,241"
Share Low,California,P.1,2.413737457e-05,"16,241"
Share High,California,P.1,0.000486914,"16,241"
Share,California,P.2,0,"16,241"
Share Low,California,P.2,0,"16,241"
Share High,California,P.2,0,"16,241"
Share,Colorado,AY.1,0,"4,420"
Share Low,Colorado,AY.1,0,"4,420"
Share High,Colorado,AY.1,0,"4,420"
Share,Colorado,AY.2,0.000515629,"4,420"
Share Low,Colorado,AY.2,7.576740609e-05,"4,420"
Share High,Colorado,AY.2,0.001732849,"4,420"
Share,Colorado,B.1.1.7,0,"4,420"
Share Low,Colorado,B.1.1.7,0,"4,420"
Share High,Colorado,B.1.1.7,0,"4,420"
Share,Colorado,B.1.351,0,"4,420"
Share Low,Colorado,B.1.351,0,"4,420"
Share High,Colorado,B.1.351,0,"4,420"
Share,Colorado,B.1.427/429,0,"4,420"
Share Low,Colorado,B.1.427/429,0,"4,420"
Share High,Colorado,B.1.427/429,0,"4,420"
Share,Colorado,B.1.525,0,"4,420"
Share Low,Colorado,B.1.525,0,"4,420"
Share High,Colorado,B.1.525,0,"4,420"
Share,Colorado,B.1.526,0,"4,420"
Share Low,Colorado,B.1.526,0,"4,420"
Share High,Colorado,B.1.526,0,"4,420"
Share,Colorado,B.1.617.2,0.992523670,"4,420"
Share Low,Colorado,B.1.617.2,0.954566777,"4,420"
Share High,Colorado,B.1.617.2,0.999887347,"4,420"
Share,Colorado,B.1.621,0,"4,420"
Share Low,Colorado,B.1.621,0,"4,420"
