Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,19
Share Low,Alabama,AY.1 (Delta),0,19
Share High,Alabama,AY.1 (Delta),0,19
Share,Alabama,AY.2 (Delta),0,19
Share Low,Alabama,AY.2 (Delta),0,19
Share High,Alabama,AY.2 (Delta),0,19
Share,Alabama,B.1.1.7 (Alpha),0,19
Share Low,Alabama,B.1.1.7 (Alpha),0,19
Share High,Alabama,B.1.1.7 (Alpha),0,19
Share,Alabama,B.1.1.529 (Omicron),0,19
Share Low,Alabama,B.1.1.529 (Omicron),0,19
Share High,Alabama,B.1.1.529 (Omicron),0,19
Share,Alabama,B.1.351,0,19
Share Low,Alabama,B.1.351,0,19
Share High,Alabama,B.1.351,0,19
Share,Alabama,B.1.427/429 (Epsilon),0,19
Share Low,Alabama,B.1.427/429 (Epsilon),0,19
Share High,Alabama,B.1.427/429 (Epsilon),0,19
Share,Alabama,B.1.525,0,19
Share Low,Alabama,B.1.525,0,19
Share High,Alabama,B.1.525,0,19
Share,Alabama,B.1.526 (Iota),0,19
Share Low,Alabama,B.1.526 (Iota),0,19
Share High,Alabama,B.1.526 (Iota),0,19
Share,Alabama,B.1.617.1,0,19
Share Low,Alabama,B.1.617.1,0,19
Share High,Alabama,B.1.617.1,0,19
Share,Alabama,B.1.617.2 (Delta),0,19
Share Low,Alabama,B.1.617.2 (Delta),0,19
Share High,Alabama,B.1.617.2 (Delta),0,19
Share,Alabama,B.1.617.3,0,19
Share Low,Alabama,B.1.617.3,0,19
Share High,Alabama,B.1.617.3,0,19
Share,Alabama,B.1.621 (Mu),0,19
Share Low,Alabama,B.1.621 (Mu),0,19
Share High,Alabama,B.1.621 (Mu),0,19
Share,Alabama,BA.2 (Omicron),0,19
Share Low,Alabama,BA.2 (Omicron),0,19
Share High,Alabama,BA.2 (Omicron),0,19
Share,Alabama,BA.2.12.1 (Omicron),0,19
Share Low,Alabama,BA.2.12.1 (Omicron),0,19
Share High,Alabama,BA.2.12.1 (Omicron),0,19
Share,Alabama,BA.2.75 (Omicron),0,19
Share Low,Alabama,BA.2.75 (Omicron),0,19
Share High,Alabama,BA.2.75 (Omicron),0,19
Share,Alabama,BA.2.75.2 (Omicron),0,19
Share Low,Alabama,BA.2.75.2 (Omicron),0,19
Share High,Alabama,BA.2.75.2 (Omicron),0,19
Share,Alabama,CH.1.1 (Omicron),0.052631579,19
Share Low,Alabama,CH.1.1 (Omicron),8.149447240e-06,19
Share High,Alabama,CH.1.1 (Omicron),0.459419012,19
Share,Alabama,BN.1 (Omicron),0.105263159,19
Share Low,Alabama,BN.1 (Omicron),0.013012164,19
Share High,Alabama,BN.1 (Omicron),0.331376672,19
Share,Alabama,BA.4 (Omicron),0,19
Share Low,Alabama,BA.4 (Omicron),0,19
Share High,Alabama,BA.4 (Omicron),0,19
Share,Alabama,BA.4.6 (Omicron),0,19
Share Low,Alabama,BA.4.6 (Omicron),0,19
Share High,Alabama,BA.4.6 (Omicron),0,19
Share,Alabama,BA.5 (Omicron),0,19
Share Low,Alabama,BA.5 (Omicron),0,19
Share High,Alabama,BA.5 (Omicron),0,19
Share,Alabama,BA.5.2.6 (Omicron),0,19
Share Low,Alabama,BA.5.2.6 (Omicron),0,19
Share High,Alabama,BA.5.2.6 (Omicron),0,19
Share,Alabama,BF.7 (Omicron),0,19
Share Low,Alabama,BF.7 (Omicron),0,19
Share High,Alabama,BF.7 (Omicron),0,19
Share,Alabama,BF.11 (Omicron),0,19
Share Low,Alabama,BF.11 (Omicron),0,19
Share High,Alabama,BF.11 (Omicron),0,19
Share,Alabama,BQ.1 (Omicron),0,19
Share Low,Alabama,BQ.1 (Omicron),0,19
Share High,Alabama,BQ.1 (Omicron),0,19
Share,Alabama,BQ.1.1 (Omicron),0,19
Share Low,Alabama,BQ.1.1 (Omicron),0,19
Share High,Alabama,BQ.1.1 (Omicron),0,19
Share,Alabama,XBB (Omicron),0,19
Share Low,Alabama,XBB (Omicron),0,19
Share High,Alabama,XBB (Omicron),0,19
Share,Alabama,XBB.1.5 (Omircon),0.842105269,19
Share Low,Alabama,XBB.1.5 (Omircon),0.538373530,19
Share High,Alabama,XBB.1.5 (Omircon),0.979878128,19
Share,Alabama,XBB.1.5.1 (Omicron),0,19
Share Low,Alabama,XBB.1.5.1 (Omicron),0,19
Share High,Alabama,XBB.1.5.1 (Omicron),0,19
Share,Alabama,FD.2 (Omicron),0,19
Share Low,Alabama,FD.2 (Omicron),0,19
Share High,Alabama,FD.2 (Omicron),0,19
Share,Alabama,XBB.1.9.1 (Omicron),0,19
Share Low,Alabama,XBB.1.9.1 (Omicron),0,19
Share High,Alabama,XBB.1.9.1 (Omicron),0,19
Share,Alabama,XBB.1.9.2 (Omicron),0,19
Share Low,Alabama,XBB.1.9.2 (Omicron),0,19
Share High,Alabama,XBB.1.9.2 (Omicron),0,19
Share,Alabama,XBB.1.16 (Omicron),0,19
Share Low,Alabama,XBB.1.16 (Omicron),0,19
Share High,Alabama,XBB.1.16 (Omicron),0,19
Share,Alabama,Other,0,19
Share Low,Alabama,Other,0,19
Share High,Alabama,Other,0,19
Share,Alabama,P.1,0,19
Share Low,Alabama,P.1,0,19
Share High,Alabama,P.1,0,19
Share,Alabama,P.2,0,19
Share Low,Alabama,P.2,0,19
Share High,Alabama,P.2,0,19
Share,Alaska,AY.1 (Delta),0,43
Share Low,Alaska,AY.1 (Delta),0,43
Share High,Alaska,AY.1 (Delta),0,43
Share,Alaska,AY.2 (Delta),0,43
Share Low,Alaska,AY.2 (Delta),0,43
Share High,Alaska,AY.2 (Delta),0,43
Share,Alaska,B.1.1.7 (Alpha),0,43
Share Low,Alaska,B.1.1.7 (Alpha),0,43
Share High,Alaska,B.1.1.7 (Alpha),0,43
Share,Alaska,B.1.1.529 (Omicron),0,43
Share Low,Alaska,B.1.1.529 (Omicron),0,43
Share High,Alaska,B.1.1.529 (Omicron),0,43
Share,Alaska,B.1.351,0,43
Share Low,Alaska,B.1.351,0,43
Share High,Alaska,B.1.351,0,43
Share,Alaska,B.1.427/429 (Epsilon),0,43
Share Low,Alaska,B.1.427/429 (Epsilon),0,43
Share High,Alaska,B.1.427/429 (Epsilon),0,43
Share,Alaska,B.1.525,0,43
Share Low,Alaska,B.1.525,0,43
Share High,Alaska,B.1.525,0,43
Share,Alaska,B.1.526 (Iota),0,43
Share Low,Alaska,B.1.526 (Iota),0,43
Share High,Alaska,B.1.526 (Iota),0,43
Share,Alaska,B.1.617.1,0,43
Share Low,Alaska,B.1.617.1,0,43
Share High,Alaska,B.1.617.1,0,43
Share,Alaska,B.1.617.2 (Delta),0,43
Share Low,Alaska,B.1.617.2 (Delta),0,43
Share High,Alaska,B.1.617.2 (Delta),0,43
Share,Alaska,B.1.617.3,0,43
Share Low,Alaska,B.1.617.3,0,43
Share High,Alaska,B.1.617.3,0,43
Share,Alaska,B.1.621 (Mu),0,43
Share Low,Alaska,B.1.621 (Mu),0,43
Share High,Alaska,B.1.621 (Mu),0,43
Share,Alaska,BA.2 (Omicron),0.014931355,43
Share Low,Alaska,BA.2 (Omicron),6.282402319e-05,43
Share High,Alaska,BA.2 (Omicron),0.109228544,43
Share,Alaska,BA.2.12.1 (Omicron),0,43
Share Low,Alaska,BA.2.12.1 (Omicron),0,43
Share High,Alaska,BA.2.12.1 (Omicron),0,43
Share,Alaska,BA.2.75 (Omicron),0,43
Share Low,Alaska,BA.2.75 (Omicron),0,43
Share High,Alaska,BA.2.75 (Omicron),0,43
Share,Alaska,BA.2.75.2 (Omicron),0,43
Share Low,Alaska,BA.2.75.2 (Omicron),0,43
Share High,Alaska,BA.2.75.2 (Omicron),0,43
Share,Alaska,CH.1.1 (Omicron),0.026595201,43
Share Low,Alaska,CH.1.1 (Omicron),0.001000763,43
Share High,Alaska,CH.1.1 (Omicron),0.128181770,43
Share,Alaska,BN.1 (Omicron),0,43
Share Low,Alaska,BN.1 (Omicron),0,43
Share High,Alaska,BN.1 (Omicron),0,43
Share,Alaska,BA.4 (Omicron),0,43
Share Low,Alaska,BA.4 (Omicron),0,43
Share High,Alaska,BA.4 (Omicron),0,43
Share,Alaska,BA.4.6 (Omicron),0,43
Share Low,Alaska,BA.4.6 (Omicron),0,43
