Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,207
Share Low,Alabama,AY.1 (Delta),0,207
Share High,Alabama,AY.1 (Delta),0,207
Share,Alabama,AY.2 (Delta),0,207
Share Low,Alabama,AY.2 (Delta),0,207
Share High,Alabama,AY.2 (Delta),0,207
Share,Alabama,B.1.1.7 (Alpha),0,207
Share Low,Alabama,B.1.1.7 (Alpha),0,207
Share High,Alabama,B.1.1.7 (Alpha),0,207
Share,Alabama,B.1.1.529 (Omicron),0,207
Share Low,Alabama,B.1.1.529 (Omicron),0,207
Share High,Alabama,B.1.1.529 (Omicron),0,207
Share,Alabama,B.1.351,0,207
Share Low,Alabama,B.1.351,0,207
Share High,Alabama,B.1.351,0,207
Share,Alabama,B.1.427/429,0,207
Share Low,Alabama,B.1.427/429,0,207
Share High,Alabama,B.1.427/429,0,207
Share,Alabama,B.1.525,0,207
Share Low,Alabama,B.1.525,0,207
Share High,Alabama,B.1.525,0,207
Share,Alabama,B.1.526 (Iota),0,207
Share Low,Alabama,B.1.526 (Iota),0,207
Share High,Alabama,B.1.526 (Iota),0,207
Share,Alabama,B.1.617.1,0,207
Share Low,Alabama,B.1.617.1,0,207
Share High,Alabama,B.1.617.1,0,207
Share,Alabama,B.1.617.2 (Delta),0,207
Share Low,Alabama,B.1.617.2 (Delta),0,207
Share High,Alabama,B.1.617.2 (Delta),0,207
Share,Alabama,B.1.617.3,0,207
Share Low,Alabama,B.1.617.3,0,207
Share High,Alabama,B.1.617.3,0,207
Share,Alabama,B.1.621 (Mu),0,207
Share Low,Alabama,B.1.621 (Mu),0,207
Share High,Alabama,B.1.621 (Mu),0,207
Share,Alabama,BA.2 (Omicron),0.426941901,207
Share Low,Alabama,BA.2 (Omicron),0.348263472,207
Share High,Alabama,BA.2 (Omicron),0.508443713,207
Share,Alabama,BA.2.12.1 (Omicron),0.474301428,207
Share Low,Alabama,BA.2.12.1 (Omicron),0.404665023,207
Share High,Alabama,BA.2.12.1 (Omicron),0.544684350,207
Share,Alabama,BA.4 (Omicron),0.016600845,207
Share Low,Alabama,BA.4 (Omicron),0.003952850,207
Share High,Alabama,BA.4 (Omicron),0.044841871,207
Share,Alabama,BA.5 (Omicron),0.082155809,207
Share Low,Alabama,BA.5 (Omicron),0.048592284,207
Share High,Alabama,BA.5 (Omicron),0.128271118,207
Share,Alabama,Other,0,207
Share Low,Alabama,Other,0,207
Share High,Alabama,Other,0,207
Share,Alabama,P.1,0,207
Share Low,Alabama,P.1,0,207
Share High,Alabama,P.1,0,207
Share,Alabama,P.2,0,207
Share Low,Alabama,P.2,0,207
Share High,Alabama,P.2,0,207
Share,Alaska,AY.1 (Delta),0,80
Share Low,Alaska,AY.1 (Delta),0,80
Share High,Alaska,AY.1 (Delta),0,80
Share,Alaska,AY.2 (Delta),0,80
Share Low,Alaska,AY.2 (Delta),0,80
Share High,Alaska,AY.2 (Delta),0,80
Share,Alaska,B.1.1.7 (Alpha),0,80
Share Low,Alaska,B.1.1.7 (Alpha),0,80
Share High,Alaska,B.1.1.7 (Alpha),0,80
Share,Alaska,B.1.1.529 (Omicron),0,80
Share Low,Alaska,B.1.1.529 (Omicron),0,80
Share High,Alaska,B.1.1.529 (Omicron),0,80
Share,Alaska,B.1.351,0,80
Share Low,Alaska,B.1.351,0,80
Share High,Alaska,B.1.351,0,80
Share,Alaska,B.1.427/429,0,80
Share Low,Alaska,B.1.427/429,0,80
Share High,Alaska,B.1.427/429,0,80
Share,Alaska,B.1.525,0,80
Share Low,Alaska,B.1.525,0,80
Share High,Alaska,B.1.525,0,80
Share,Alaska,B.1.526 (Iota),0,80
Share Low,Alaska,B.1.526 (Iota),0,80
Share High,Alaska,B.1.526 (Iota),0,80
Share,Alaska,B.1.617.1,0,80
Share Low,Alaska,B.1.617.1,0,80
Share High,Alaska,B.1.617.1,0,80
Share,Alaska,B.1.617.2 (Delta),0,80
Share Low,Alaska,B.1.617.2 (Delta),0,80
Share High,Alaska,B.1.617.2 (Delta),0,80
Share,Alaska,B.1.617.3,0,80
Share Low,Alaska,B.1.617.3,0,80
Share High,Alaska,B.1.617.3,0,80
Share,Alaska,B.1.621 (Mu),0,80
Share Low,Alaska,B.1.621 (Mu),0,80
Share High,Alaska,B.1.621 (Mu),0,80
Share,Alaska,BA.2 (Omicron),0.747318566,80
Share Low,Alaska,BA.2 (Omicron),0.637735128,80
Share High,Alaska,BA.2 (Omicron),0.837870181,80
Share,Alaska,BA.2.12.1 (Omicron),0.233748063,80
Share Low,Alaska,BA.2.12.1 (Omicron),0.146345437,80
Share High,Alaska,BA.2.12.1 (Omicron),0.341678828,80
Share,Alaska,BA.4 (Omicron),0.018933346,80
Share Low,Alaska,BA.4 (Omicron),0.001393123,80
Share High,Alaska,BA.4 (Omicron),0.078067094,80
Share,Alaska,BA.5 (Omicron),0,80
Share Low,Alaska,BA.5 (Omicron),0,80
Share High,Alaska,BA.5 (Omicron),0,80
Share,Alaska,Other,0,80
Share Low,Alaska,Other,0,80
Share High,Alaska,Other,0,80
Share,Alaska,P.1,0,80
Share Low,Alaska,P.1,0,80
Share High,Alaska,P.1,0,80
Share,Alaska,P.2,0,80
Share Low,Alaska,P.2,0,80
Share High,Alaska,P.2,0,80
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
