Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1,0,262
Share Low,Alabama,AY.1,0,262
Share High,Alabama,AY.1,0,262
Share,Alabama,AY.2,0,262
Share Low,Alabama,AY.2,0,262
Share High,Alabama,AY.2,0,262
Share,Alabama,B.1.1.7,0,262
Share Low,Alabama,B.1.1.7,0,262
Share High,Alabama,B.1.1.7,0,262
Share,Alabama,B.1.351,0,262
Share Low,Alabama,B.1.351,0,262
Share High,Alabama,B.1.351,0,262
Share,Alabama,B.1.427/429,0,262
Share Low,Alabama,B.1.427/429,0,262
Share High,Alabama,B.1.427/429,0,262
Share,Alabama,B.1.525,0,262
Share Low,Alabama,B.1.525,0,262
Share High,Alabama,B.1.525,0,262
Share,Alabama,B.1.526,0,262
Share Low,Alabama,B.1.526,0,262
Share High,Alabama,B.1.526,0,262
Share,Alabama,B.1.617.1,0,262
Share Low,Alabama,B.1.617.1,0,262
Share High,Alabama,B.1.617.1,0,262
Share,Alabama,B.1.617.2,0.997359514,262
Share Low,Alabama,B.1.617.2,0.980973482,262
Share High,Alabama,B.1.617.2,0.999983966,262
Share,Alabama,B.1.617.3,0,262
Share Low,Alabama,B.1.617.3,0,262
Share High,Alabama,B.1.617.3,0,262
Share,Alabama,B.1.621,0,262
Share Low,Alabama,B.1.621,0,262
Share High,Alabama,B.1.621,0,262
Share,Alabama,Other,0.002640515,262
Share Low,Alabama,Other,1.605408397e-05,262
Share High,Alabama,Other,0.019026535,262
Share,Alabama,P.1,0,262
Share Low,Alabama,P.1,0,262
Share High,Alabama,P.1,0,262
Share,Alabama,P.2,0,262
Share Low,Alabama,P.2,0,262
Share High,Alabama,P.2,0,262
Share,Alaska,AY.1,0,774
Share Low,Alaska,AY.1,0,774
Share High,Alaska,AY.1,0,774
Share,Alaska,AY.2,0,774
Share Low,Alaska,AY.2,0,774
Share High,Alaska,AY.2,0,774
Share,Alaska,B.1.1.7,0,774
Share Low,Alaska,B.1.1.7,0,774
Share High,Alaska,B.1.1.7,0,774
Share,Alaska,B.1.351,0,774
Share Low,Alaska,B.1.351,0,774
Share High,Alaska,B.1.351,0,774
Share,Alaska,B.1.427/429,0,774
Share Low,Alaska,B.1.427/429,0,774
Share High,Alaska,B.1.427/429,0,774
Share,Alaska,B.1.525,0,774
Share Low,Alaska,B.1.525,0,774
Share High,Alaska,B.1.525,0,774
Share,Alaska,B.1.526,0,774
Share Low,Alaska,B.1.526,0,774
Share High,Alaska,B.1.526,0,774
Share,Alaska,B.1.617.1,0,774
Share Low,Alaska,B.1.617.1,0,774
Share High,Alaska,B.1.617.1,0,774
Share,Alaska,B.1.617.2,0.997566581,774
Share Low,Alaska,B.1.617.2,0.975814819,774
Share High,Alaska,B.1.617.2,0.999998748,774
Share,Alaska,B.1.617.3,0,774
Share Low,Alaska,B.1.617.3,0,774
Share High,Alaska,B.1.617.3,0,774
Share,Alaska,B.1.621,0,774
Share Low,Alaska,B.1.621,0,774
Share High,Alaska,B.1.621,0,774
Share,Alaska,Other,0.002433410,774
Share Low,Alaska,Other,1.276173066e-06,774
Share High,Alaska,Other,0.024185151,774
Share,Alaska,P.1,0,774
Share Low,Alaska,P.1,0,774
Share High,Alaska,P.1,0,774
Share,Alaska,P.2,0,774
Share Low,Alaska,P.2,0,774
Share High,Alaska,P.2,0,774
Share,American Samoa,AY.1,,0
Share Low,American Samoa,AY.1,0,0
Share High,American Samoa,AY.1,0,0
Share,American Samoa,AY.2,,0
Share Low,American Samoa,AY.2,0,0
Share High,American Samoa,AY.2,0,0
Share,American Samoa,B.1.1.7,,0
Share Low,American Samoa,B.1.1.7,0,0
Share High,American Samoa,B.1.1.7,0,0
Share,American Samoa,B.1.351,,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429,,0
Share Low,American Samoa,B.1.427/429,0,0
Share High,American Samoa,B.1.427/429,0,0
Share,American Samoa,B.1.525,,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526,,0
Share Low,American Samoa,B.1.526,0,0
Share High,American Samoa,B.1.526,0,0
Share,American Samoa,B.1.617.1,,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2,,0
Share Low,American Samoa,B.1.617.2,0,0
Share High,American Samoa,B.1.617.2,0,0
Share,American Samoa,B.1.617.3,,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621,,0
Share Low,American Samoa,B.1.621,0,0
Share High,American Samoa,B.1.621,0,0
Share,American Samoa,Other,,0
Share Low,American Samoa,Other,0,0
Share High,American Samoa,Other,0,0
Share,American Samoa,P.1,,0
Share Low,American Samoa,P.1,0,0
Share High,American Samoa,P.1,0,0
Share,American Samoa,P.2,,0
Share Low,American Samoa,P.2,0,0
Share High,American Samoa,P.2,0,0
Share,Arizona,AY.1,0.000259101,"3,644"
Share Low,Arizona,AY.1,5.440581845e-06,"3,644"
Share High,Arizona,AY.1,0.001501389,"3,644"
Share,Arizona,AY.2,0,"3,644"
Share Low,Arizona,AY.2,0,"3,644"
Share High,Arizona,AY.2,0,"3,644"
Share,Arizona,B.1.1.7,0,"3,644"
Share Low,Arizona,B.1.1.7,0,"3,644"
Share High,Arizona,B.1.1.7,0,"3,644"
Share,Arizona,B.1.351,0,"3,644"
Share Low,Arizona,B.1.351,0,"3,644"
Share High,Arizona,B.1.351,0,"3,644"
Share,Arizona,B.1.427/429,0,"3,644"
Share Low,Arizona,B.1.427/429,0,"3,644"
Share High,Arizona,B.1.427/429,0,"3,644"
Share,Arizona,B.1.525,0,"3,644"
Share Low,Arizona,B.1.525,0,"3,644"
Share High,Arizona,B.1.525,0,"3,644"
Share,Arizona,B.1.526,0,"3,644"
Share Low,Arizona,B.1.526,0,"3,644"
Share High,Arizona,B.1.526,0,"3,644"
Share,Arizona,B.1.617.1,0,"3,644"
Share Low,Arizona,B.1.617.1,0,"3,644"
Share High,Arizona,B.1.617.1,0,"3,644"
Share,Arizona,B.1.617.2,0.991197228,"3,644"
Share Low,Arizona,B.1.617.2,0.958055437,"3,644"
Share High,Arizona,B.1.617.2,0.999597490,"3,644"
Share,Arizona,B.1.617.3,0,"3,644"
Share Low,Arizona,B.1.617.3,0,"3,644"
Share High,Arizona,B.1.617.3,0,"3,644"
Share,Arizona,B.1.621,0,"3,644"
Share Low,Arizona,B.1.621,0,"3,644"
Share High,Arizona,B.1.621,0,"3,644"
Share,Arizona,Other,0.008543656,"3,644"
Share Low,Arizona,Other,0.000390913,"3,644"
Share High,Arizona,Other,0.040723424,"3,644"
Share,Arizona,P.1,0,"3,644"
Share Low,Arizona,P.1,0,"3,644"
Share High,Arizona,P.1,0,"3,644"
Share,Arizona,P.2,0,"3,644"
Share Low,Arizona,P.2,0,"3,644"
Share High,Arizona,P.2,0,"3,644"
Share,Arkansas,AY.1,0,279
Share Low,Arkansas,AY.1,0,279
Share High,Arkansas,AY.1,0,279
Share,Arkansas,AY.2,0,279
Share Low,Arkansas,AY.2,0,279
Share High,Arkansas,AY.2,0,279
Share,Arkansas,B.1.1.7,0,279
Share Low,Arkansas,B.1.1.7,0,279
